Store Name,Address,latitude,longitude
Oceanus Waterfront,"Unit G35, Ground Floor,Oceanues Waterfront Mall, Jalan Fuad Stephen, Sabah 88000",5.977028199999999,116.0689252
Mid Valley 2,"Lot T-073, Third Floor,Mid Valley Megamall, Mid Valley City,Kuala Lumpur 59200",3.1176991,101.6774777
Mitsui Outlet Park,"G65, Ground Floor, Mitsui Outlet Park KLIA Sepang,Persiaran Komersial, KLIA,Selangor 64000",2.7794185,101.6768964
Reserve Sky Avenue,"Lot T2B-31, Sky Avenue,Genting Highlands,Pahang 48000",3.4240611,101.7941335
Gurney Plaza 2,"Lot 170-07-16,Gurney Plaza, Persiaran GurneyPenang 10250",5.4381509,100.309708
Genting Premium Outlet ,"No. 422,Genting Highlands Premium Outlets,Pahang 69000",3.4033765,101.7831159
Bintulu Airport,"Lot No. GL 19, Ground Floor,Public Concourse (Landside),Sarawak null",1.5532783,110.3592127
Universiti LRT Station,"Universiti LRT station,Lot K3 / K7, Jalan Kerinchi,Kuala Lumpur 59200",3.114567,101.6618697
Gelang Patah R&R (SB)      ,"Lot GPHSB-C16, Gelang Patah RSA Southbound,Malaysia-Singapore Second Link, Kampung Tiram Duku Kiri,Johor 81550",1.3884074,103.593814
Sogo Southkey Megamall,"Lot 1F-5A, First Floor, Sogo Mid Valley Megamall,Southkey, No.1, Persiaran Southkey 1,Johor 80150",1.5009581,103.7773778
Berjaya Hills,"La Grande, Berjaya Hills Resort,KM48 Persimpangan Bertingkat,Pahang 28750",3.4014565,101.8396774
Sunway University ,"Mezzanine Floor, No.5 Jalan Universiti,Selangor 47500",3.0682017,101.6035702
Penang International Airport (International),"Lot L2AFB12B, Level 2, International Departure (Airside),Penang International Airport,Penang 11900",5.2914252,100.2649668
Chin Swee,"Lot L12-S1, Level 12, Lobby Floor,Goh Tong Hall, Chin Swee Caves Temple,Pahang null",3.4124156,101.7878324
Sunway Theme Park ,"Food Arena, Sunway Lagoon Theme Park, 3,Jalan PJS 11/11,Selangor 47500",3.0715329,101.6053226
Skudai R&R DT (SB),"PTD 110975,Lebuhraya Utara Selatan KM 16.5 (Arah Selatan),Johor null",1.945581,103.1513692
Quayside Mall,"GF(W)-11, GF(W)-11-E, Kompleks Perniagaan Gamuda,Persiaran Freesia, Gamuda Kemuning 25.7,Selangor 42500",2.9564142,101.5538585
Jaya Shopping Centre,"Lot G15A & G-16, Ground Floor,Jaya Shopping Centre, Section 14,Selangor 46100",3.1091099,101.637092
Johor Bahru City Square,"Lot J1-06, Level 1,  Johor Bahru City Square,No. 106 & 108, Jalan Wong Ah Fook,Johor 80000",1.4620887,103.7636735
Mid Valley,"Lot G-100, Ground FloorMid Valley Megamall, Mid Valley City,Kuala Lumpur 58000",3.1174073,101.6780545
Reserve Sunway Pyramid,"Lot G1.129, OB3.G.1 & OB3.G.2, Ground Floor,Oasis Boulevard, Sunway Pyramid Shopping Mall,Selangor 47500",3.07324,101.6081056
UOA Damansara,"Unit 50 G-1, Ground Floor, Wisma UOA Damansara,No.50, Jalan Dungun,Kuala Lumpur 50490",3.1517288,101.6660061
Plaza Mont' Kiara,"Lot Suite B, OG-01-02, Plaza Mont' Kiara,No.2, Jalan 1/70C,Kuala Lumpur 50480",3.1654103,101.6516822
